20170822,3290.23,186537984,22292748,49187,2.39,20170822,56.91
20170821,3286.91,186122480,20971860,49404,2.4,20170821,58.16
20170818,3268.72,191122480,21843774,45948,2.23,20170818,57.28
20170817,3268.43,203622544,22837694,92703,4.5,20170817,58
20170816,3246.45,176852048,20083254,47650,2.31,20170816,56.1
20170815,3251.26,182297984,20459586,26306,1.28,20170815,54.89
20170814,3237.36,190346800,20909608,28936,1.4,20170814,54.74
20170811,3208.54,262962992,26699826,33444,1.62,20170811,53.25
20170810,3261.75,240684624,25185404,41659,2.02,20170810,55.05
20170809,3275.57,235597904,23781512,12416,0.6,20170809,53.8
20170808,3281.87,252043536,25577018,23782,1.15,20170808,53.61
20170807,3279.46,231173392,23187438,18613,0.9,20170807,54.05
20170804,3262.08,275906336,28563476,19244,0.93,20170804,53.97
20170803,3272.93,233277008,24354954,18933,0.92,20170803,53.94
20170802,3285.06,266730624,27935234,27178,1.32,20170802,54.25
20170801,3292.64,237194592,25641994,23711,1.15,20170801,55
20170731,3273.03,246039456,25352592,32826,1.59,20170731,55.05
20170728,3253.24,182226880,19842860,23669,1.15,20170728,54
20170727,3249.78,228485936,24257208,39436,1.91,20170727,54.9
20170726,3247.67,213542016,22846052,25601,1.24,20170726,53
20170725,3243.69,205573872,21340550,27594,1.34,20170725,53.62
20170724,3250.6,233056400,25063120,33985,1.65,20170724,54.3
20170721,3237.98,206003248,22195692,44643,2.17,20170721,54.87
20170720,3244.86,232108400,24582542,63720,3.09,20170720,53.93
20170719,3230.98,272420736,26977102,28759,1.4,20170719,55.81
20170718,3187.57,190623072,19645236,22646,1.1,20170718,54.77
20170717,3176.46,266205264,27465324,57610,2.8,20170717,54.26
20170714,3222.42,160126768,17431214,26817,1.3,20170714,58.01
20170713,3218.16,195303616,21082090,47033,2.28,20170713,58.38
20170712,3197.54,186900896,20179962,36223,1.76,20170712,57.08
20170711,3203.04,187837248,20549338,29913,1.45,20170711,57.6
20170710,3212.63,198928016,22282832,53675,2.6,20170710,58.08
20170707,3217.96,176715408,20193832,30802,1.49,20170707,58.94
20170706,3212.44,175809296,20220962,48455,2.35,20170706,59
20170705,3207.13,148296480,17355400,49206,2.39,20170705,59.39
20170704,3182.8,141114960,16145456,62112,3.01,20170704,59.35
20170703,3195.91,140305712,15657578,45446,2.21,20170703,60.59
20170630,3192.43,121464544,14319560,49779,2.42,20170630,61.12
20170629,3188.06,128755464,14724979,84950,4.12,20170629,60.99
20170628,3173.2,146516720,16208110,37800,1.83,20170628,58.5
20170627,3191.2,148201200,16752379,38147,1.85,20170627,59.12
20170626,3185.44,173579200,20041930,73382,3.56,20170626,59.59
20170623,3157.87,154843648,17556852,35835,1.74,20170623,56.41
20170622,3147.45,191344000,22043844,56419,2.74,20170622,55.56
20170621,3156.21,136688272,16704822,19399,0.94,20170621,54.58
20170620,3140.01,141191808,16249802,13674,0.66,20170620,54.27
20170619,3144.37,134891760,15174179,21255,1.03,20170619,54.3
20170616,3123.17,129652760,14921548,25562,1.24,20170616,54.47
20170615,3132.49,146954240,17112452,23753,1.15,20170615,53.55
20170614,3130.67,138347040,16064124,11265,0.55,20170614,52.77
20170613,3153.74,128318280,14845787,14617,0.71,20170613,52.71
20170612,3139.88,146729424,17022328,16600,0.81,20170612,52.4
20170609,3158.4,160136336,18158488,15062,0.73,20170609,53.38
20170608,3150.33,152277664,17889430,16859,0.82,20170608,53.36
20170607,3140.32,173229008,19428794,29075,1.41,20170607,53.49
20170606,3102.13,113439960,12780462,15927,0.77,20170606,52.22
20170605,3091.66,132570296,14342980,16286,0.79,20170605,52.76
20170602,3105.54,142504928,15445434,19268,0.93,20170602,52.75
